source,target,weight
says,politics,0.000038704845792
climate,change,0.000001864892170
what,you,0.000008509137842
www,california,0.000012942233298
entry,bill,0.000024669936465
seth,meyers,0.000000133921517
carla,herreria,0.000000192822966
huffingtonpost,house,0.000017195749024
huffingtonpost,says,0.000065236992668
daniel,marans,0.000000758170984
world,has,0.000004826959866
president,and,0.000029283708500
from,politics,0.000019303648514
entry,american,0.000015129908206
from,this,0.000004840449037
www,from,0.000027898891858
and,have,0.000021255371394
www,michael,0.000010228706742
entry,republicans,0.000010667203242
entry,why,0.000018135173377
entry,people,0.000069568013714
entry,most,0.000015679846911
and,new,0.000023520111426
was,for,0.000024802604457
politics,but,0.000008862064533
https,what,0.000021215872039
trump,news,0.000032060725061
entry,north,0.000004096781140
willa,frej,0.000000104581609
stormy,daniels,0.000000023580824
entry,national,0.000007335885584
www,russia,0.000009276944184
gop,politics,0.000016609006707
out,and,0.000017141072021
news,were,0.000004768701729
politics,state,0.000009437720109
josephine,harvey,0.000000327251911
biden,politics,0.000007992704923
entry,court,0.000009511148164
you,your,0.000007602300229
world,for,0.000023626736947
entry,death,0.000009154731742
with,his,0.000010578996807
www,best,0.000004229982096
says,for,0.000041136547225
and,was,0.000019096280084
entry,school,0.000027252290238
www,says,0.000078868011769
entry,mike,0.000007553631349
politics,not,0.000014552838365
for,who,0.000022046093363
trump,administration,0.000005290163244
for,after,0.000020293264242
after,world,0.000005980199603
entry,scott,0.000007114425443
entry,woman,0.000015255141989
for,new,0.000027714659154
who,for,0.000028719901820
entry,her,0.000027570571547
politics,one,0.000008158980563
this,year,0.000006352835953
that,was,0.000006785480764
for,first,0.000011111641470
entry,shooting,0.000019846331270
and,news,0.000025943953005
entry,gun,0.000016469015463
this,and,0.000025923352950
how,and,0.000018851536879
tweets,from,0.000001656877316
politics,will,0.000011631448615
entry,facebook,0.000015048344721
lydia,connor,0.000000529780607
www,stephen,0.000006778084298
https,for,0.000271487631835
melania,trump,0.000008142203114
entry,star,0.000016151489035
entry,about,0.000043942160119
kim,jong,0.000000080874528
rebecca,shapiro,0.000000103453580
huffingtonpost,with,0.000049864753237
entry,report,0.000033342439565
entry,putin,0.000014288461898
entertainment,his,0.000007785954949
www,dead,0.000008175959920
not,politics,0.000050014750741
politics,with,0.000025046441806
huffpost,joe,0.000000938725236
funniest,from,0.000000934745344
tweets,women,0.000001516569114
winter,olympics,0.000000291289524
hong,kong,0.000000159412593
new,entertainment,0.000011353487025
entry,twitter,0.000013753533494
not,for,0.000053157007642
www,news,0.000050000449846
entry,david,0.000025665798603
politics,people,0.000019427576262
with,news,0.000018283199097
trump,that,0.000030653853173
huffpost,california,0.000002634887778
entry,queer,0.000052098203014
