source,target,weight
says,politics,0.220466867089272
climate,change,0.980148315429688
what,you,0.471810549497604
www,california,0.464520990848541
entry,bill,0.293138206005096
seth,meyers,3.617094993591309
carla,herreria,1.156985878944397
huffingtonpost,house,0.246092095971107
huffingtonpost,says,0.138802289962769
daniel,marans,4.071371078491211
world,has,0.329355895519257
president,and,0.407144933938980
from,politics,0.167789429426193
entry,american,0.424021750688553
from,this,0.192185521125793
www,from,0.451891809701920
and,have,0.350691169500351
www,michael,0.243387788534164
entry,republicans,0.441455304622650
entry,why,0.473231762647629
entry,people,0.693296194076538
entry,most,0.363847643136978
and,new,0.453779786825180
was,for,0.307462304830551
politics,but,0.397574871778488
https,what,0.295180678367615
trump,news,0.189533039927483
entry,north,0.242166891694069
willa,frej,2.596233129501343
stormy,daniels,1.936557769775391
entry,national,0.326647073030472
www,russia,0.326085358858109
gop,politics,0.689072906970978
out,and,0.383276849985123
news,were,0.572368443012238
politics,state,0.684892177581787
josephine,harvey,3.834814071655273
biden,politics,0.567412137985229
entry,court,0.661540508270264
you,your,0.794034302234650
world,for,0.192106008529663
entry,death,0.406815111637115
with,his,0.360640138387680
www,best,0.427647799253464
says,for,0.300514161586761
and,was,0.354067116975784
entry,school,0.383266091346741
www,says,0.214906811714172
entry,mike,0.247766599059105
politics,not,0.495836585760117
for,who,0.290647983551025
trump,administration,0.333033025264740
for,after,0.514745593070984
after,world,0.729968607425690
entry,scott,0.342038214206696
entry,woman,0.351132005453110
for,new,0.472750335931778
who,for,0.222848042845726
entry,her,0.227411255240440
politics,one,0.459167748689651
this,year,0.810844957828522
that,was,0.374145627021790
for,first,0.507222771644592
entry,shooting,0.364485919475555
and,news,0.275073349475861
entry,gun,0.504376828670502
this,and,0.228663221001625
how,and,0.308723360300064
tweets,from,1.437453866004944
politics,will,0.520070612430573
entry,facebook,0.834262132644653
lydia,connor,2.864084720611572
www,stephen,0.392941713333130
https,for,0.214356660842896
melania,trump,1.336256384849548
entry,star,0.199958279728889
entry,about,0.350995272397995
kim,jong,1.951449394226074
rebecca,shapiro,2.389641761779785
huffingtonpost,with,0.166757598519325
entry,report,0.434430927038193
entry,putin,0.424160599708557
entertainment,his,0.777516543865204
www,dead,0.366194546222687
not,politics,0.280693769454956
politics,with,0.369340986013412
huffpost,joe,1.179533362388611
funniest,from,2.034072160720825
tweets,women,1.146177530288696
winter,olympics,0.912382423877716
hong,kong,2.133232355117798
new,entertainment,0.357531756162643
entry,twitter,0.468153744935989
not,for,0.382608115673065
www,news,0.198565870523453
entry,david,0.420391380786896
politics,people,0.991338133811951
with,news,0.192346572875977
trump,that,0.235811382532120
huffpost,california,0.942721009254456
entry,queer,0.231087133288383
are,politics,0.156176090240479
mike,pence,1.113053560256958
about,trump,0.371222317218781
carol,kuruvilla,1.573259115219116
huffingtonpost,how,0.334389626979828
entry,ukraine,0.517912745475769
for,people,1.000147581100464
for,time,0.682682931423187
from,news,0.252037137746811
huffpost,from,0.917090773582458
news,after,0.595340549945831
about,her,0.412047833204269
this,for,0.313184052705765
women,this,0.375328153371811
entry,accused,0.306169509887695
and,what,0.343732774257660
that,you,0.356071263551712
trump,former,0.362400919198990
have,and,0.292650312185287
school,shooting,0.685024082660675
www,democrats,0.467469394207001
huffpost,best,0.867888689041138
entry,state,0.478982120752335
entertainment,for,0.376306414604187
https,michael,0.289540678262711
huffpost,how,1.050713419914246
will,politics,0.330404371023178
www,house,0.381023019552231
